feature,coefficient
formula,0.8906243
study_hours,0.42186317
study_from_optimal,-0.0959067
class_attendance,-0.025581297
formula_residual,0.025033629
attendance_from_optimal,-0.02425344
sleep_hours,-0.0034593919
formula_x_study,-0.002889719
