trial,value,params
66,9.182398530646346,"{'alpha': 0.032344094600702075, 'l1_ratio': 0.8671298550537487}"
67,9.181851352442083,"{'alpha': 0.031570172656878025, 'l1_ratio': 0.8694867394770575}"
68,9.302469466010255,"{'alpha': 0.21588566816510557, 'l1_ratio': 0.86296489961503}"
69,9.17464660801495,"{'alpha': 0.012503691046254454, 'l1_ratio': 0.8502276892367521}"
70,10.676687384258457,"{'alpha': 1.3084873260905079, 'l1_ratio': 0.7352278484351463}"
71,9.193787010954672,"{'alpha': 0.044241990262733136, 'l1_ratio': 0.8184399791702711}"
72,9.20779107066926,"{'alpha': 0.046313543941047974, 'l1_ratio': 0.6990194612190979}"
73,9.195788441657772,"{'alpha': 0.04833691216955876, 'l1_ratio': 0.8246156302751814}"
74,9.175573855478628,"{'alpha': 0.013058548082707674, 'l1_ratio': 0.8197043342799232}"
75,9.17460934345207,"{'alpha': 0.01256809636745814, 'l1_ratio': 0.8529785854082478}"
76,9.174719630186999,"{'alpha': 0.012478293027273898, 'l1_ratio': 0.8464901717782234}"
77,9.210867365206404,"{'alpha': 0.02305592360551238, 'l1_ratio': 0.21204356292959392}"
78,9.174794680183814,"{'alpha': 0.012218701537627937, 'l1_ratio': 0.8386745900937284}"
79,9.174667389919218,"{'alpha': 0.012303782354651674, 'l1_ratio': 0.8460477782278438}"
80,9.174623104374358,"{'alpha': 0.01226317845186993, 'l1_ratio': 0.8473827622626572}"
81,9.176412692956186,"{'alpha': 0.012826602647566977, 'l1_ratio': 0.7817212662907712}"
82,9.174533675767096,"{'alpha': 0.011937840543179699, 'l1_ratio': 0.8462196915257291}"
83,9.176089799553075,"{'alpha': 0.012008553266170651, 'l1_ratio': 0.7769860207939298}"
84,9.174655694730777,"{'alpha': 0.012121731245241628, 'l1_ratio': 0.8435211845216947}"
85,9.174570344033413,"{'alpha': 0.01188303405469921, 'l1_ratio': 0.8434482443394522}"
86,9.174478690751192,"{'alpha': 0.011724881987277483, 'l1_ratio': 0.8452705070158487}"
87,9.176823621885909,"{'alpha': 0.01195399415128327, 'l1_ratio': 0.7446913749096359}"
