trial,value,params
62,8.892829768657155,"{'alpha': 2.7148018937736444, 'fit_intercept': False, 'solver': 'svd'}"
63,8.89282933885188,"{'alpha': 33.00776325077934, 'fit_intercept': False, 'solver': 'svd'}"
64,8.892123391134406,"{'alpha': 72.73609736817767, 'fit_intercept': True, 'solver': 'sag'}"
65,8.892123391134406,"{'alpha': 77.92908412537533, 'fit_intercept': True, 'solver': 'sag'}"
66,8.892123391134406,"{'alpha': 253.22631913841911, 'fit_intercept': True, 'solver': 'sag'}"
67,8.89311662104493,"{'alpha': 74.51812450497827, 'fit_intercept': True, 'solver': 'sparse_cg'}"
68,8.892123391134406,"{'alpha': 0.40404213113599496, 'fit_intercept': True, 'solver': 'sag'}"
69,8.892123391134406,"{'alpha': 44.33569556043044, 'fit_intercept': True, 'solver': 'sag'}"
70,8.892123391134406,"{'alpha': 0.43721104512711834, 'fit_intercept': True, 'solver': 'sag'}"
71,8.892123391134406,"{'alpha': 361.4116128587713, 'fit_intercept': True, 'solver': 'sag'}"
72,8.892123391134406,"{'alpha': 0.3005822896058045, 'fit_intercept': True, 'solver': 'sag'}"
73,8.893117687891342,"{'alpha': 0.3451558413613782, 'fit_intercept': True, 'solver': 'lsqr'}"
74,8.892128269280764,"{'alpha': 235.8560528529201, 'fit_intercept': True, 'solver': 'saga'}"
75,8.892123391134406,"{'alpha': 252.5543023154695, 'fit_intercept': True, 'solver': 'sag'}"
76,8.892128589586445,"{'alpha': 48.80984655354346, 'fit_intercept': True, 'solver': 'saga'}"
77,8.892128262745493,"{'alpha': 14.772157339303092, 'fit_intercept': True, 'solver': 'saga'}"
78,8.892123391134406,"{'alpha': 15.621892232360365, 'fit_intercept': True, 'solver': 'sag'}"
79,8.892127761719966,"{'alpha': 39.99779861309095, 'fit_intercept': True, 'solver': 'saga'}"
80,8.892128224826754,"{'alpha': 14.625394928014558, 'fit_intercept': True, 'solver': 'saga'}"
81,8.892127589028428,"{'alpha': 35.60870070564856, 'fit_intercept': True, 'solver': 'saga'}"
82,8.89212857649574,"{'alpha': 13.124968546173656, 'fit_intercept': True, 'solver': 'saga'}"
83,8.892166722068572,"{'alpha': 37.94246774482961, 'fit_intercept': True, 'solver': 'cholesky'}"
84,8.892123391134406,"{'alpha': 28.805683987314914, 'fit_intercept': True, 'solver': 'sag'}"
85,8.892123391134406,"{'alpha': 13.65064652281743, 'fit_intercept': True, 'solver': 'sag'}"
